"last_name, first_name","player_id","year","xba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sprint_speed","pitch_count_pa","oz_swing_percent"
"Isbel, Kyle",664728,2024,".231","88.1",3.9,36.3,"27.9",,30.9
"Duran, Ezequiel",677649,2024,".215","87.1",3.4,35.9,"28.8",,39.3
"Abrams, CJ",682928,2024,".243","88.2",6.9,40.7,"28.5",,35.4
"Moreno, Gabriel",672515,2024,".251","90",6.6,41,"27.2",,21.6
"Conforto, Michael",624424,2024,".254","90.2",11.8,46,"26.3",,24.5
"Kiermaier, Kevin",595281,2024,".195","86.4",3.9,30,"28.7",,33.1
"Schanuel, Nolan",694384,2024,".253","86.1",3.5,25.4,"26.4",,21.5
"Turner, Justin",457759,2024,".251","87.1",4.6,32.5,"25.4",,25.1
"Fraley, Jake",641584,2024,".245","84.3",3.2,24.7,"28.3",,31.6
"Rutschman, Adley",668939,2024,".254","88.2",6.1,36.6,"26.6",,28.9
"Perkins, Blake",663368,2024,".218","88.8",3.9,37.7,"29.6",,24.5
"Gurriel Jr., Lourdes",666971,2024,".265","88.4",6.7,40,"26.6",,32.9
"Lopez, Nicky",670032,2024,".227","85",1.5,16.9,"27.1",,27.9
"Garcia, Maikel",672580,2024,".259","90.4",3.7,42.8,"27.9",,21.2
"Ozuna, Marcell",542303,2024,".283","92.1",15.5,53.4,"25.7",,26.5
"Betts, Mookie",605141,2024,".282","89.9",6,39.5,"26.7",,21.1
"Smith, Josh",669701,2024,".242","87.8",3.7,37.1,"27.6",,25.9
"Clement, Ernie",676391,2024,".255","85.5",3.8,24.9,"28.4",,43.3
"Vaughn, Andrew",683734,2024,".240","90.3",9.3,43.3,"26.3",,33
"Moore, Dylan",664238,2024,".196","88.4",8.8,36.3,"28.0",,17.7
"Duran, Jarren",680776,2024,".267","90.8",9.3,43.9,"29.6",,28.1
"Díaz, Yandy",650490,2024,".273","92.2",7.6,48.7,"25.4",,22.8
"Naylor, Josh",647304,2024,".254","89.9",8.4,40.9,"25.2",,32.2
"Nootbaar, Lars",663457,2024,".261","91.8",9.9,49.5,"27.0",,16.9
"Bellinger, Cody",641355,2024,".241","87.8",6.3,32.9,"28.4",,32.4
"Turang, Brice",668930,2024,".261","87",2.4,29.7,"29.3",,28.4
"Espinal, Santiago",669289,2024,".258","85.9",1.9,24.1,"27.3",,28
"Crow-Armstrong, Pete",691718,2024,".221","88.9",7.4,36.8,"30.0",,41.4
"Rojas, Josh",668942,2024,".221","88.2",5.7,38.2,"27.0",,22
"Jansen, Danny",643376,2024,".198","86.6",6.4,29.7,"26.6",,20.3
