"last_name, first_name","player_id","year","xba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sprint_speed","oz_swing_percent","home_run","b_game"
"Locklear, Tyler",682988,2025,".172","87.9",6.7,41.7,"27.0",33.7,3,"31"
"Loperfido, Joey",694388,2025,".266","87.3",5.7,37.1,"28.5",34.4,4,"41"
"Schwarber, Kyle",656941,2025,".251","94.3",20.8,59.6,"25.9",21.5,56,"162"
"Clarke, Denzel",672016,2025,".204","90",6.7,42.7,"29.5",30.2,3,"47"
"Davidson, Logan",669722,2025,".138","87.4",4.5,27.3,"27.2",22,1,"19"
"Chourio, Jackson",694192,2025,".247","89.3",9.7,42.3,"29.2",36.9,21,"131"
"Ward, Taylor",621493,2025,".231","90.1",13.7,42.7,"27.3",20.7,36,"157"
"Massey, Michael",686681,2025,".238","87.5",4,33,"26.0",37.6,3,"77"
"Refsnyder, Rob",608701,2025,".243","92",12.3,52.3,"26.7",19.1,9,"70"
"Huff, Sam",669087,2025,".189","89.3",13.8,37.9,"23.4",24.3,2,"20"
"Peters, Tristan",671976,2025,".149","86.8",0,40,,42.1,0,"4"
"Handley, Maverick",668974,2025,".127","83.5",0,34.6,"27.1",25.7,0,"16"
"Seymour, Bob",676044,2025,".200","89.5",0,47.8,"26.0",41.4,1,"26"
"Kingery, Scott",664068,2025,".155","86.1",6.3,31.3,"28.3",35.6,0,"19"
"Volpe, Anthony",683011,2025,".223","89.3",10.5,41.9,"28.3",23.9,19,"153"
"Thaiss, Matt",642136,2025,".197","88.9",4.5,42.9,"25.2",20.5,1,"60"
"Merrill, Jackson",701538,2025,".263","89.7",13,42.9,"28.5",37.8,16,"115"
"Walker, Christian",572233,2025,".233","90.9",12.9,46.1,"26.2",28.1,27,"154"
"Julien, Edouard",666397,2025,".242","89.2",12.2,42.3,"27.5",19.8,3,"64"
"Alvarez, Francisco",682626,2025,".229","93.1",12.1,54.3,"26.0",27.8,11,"76"
"Heyward, Jason",518792,2025,".201","85.1",4.4,33.8,"27.2",32.4,2,"34"
"Herrera, Iván",671056,2025,".275","91.2",11,47.7,"26.3",25.1,19,"107"
"Lee, Brooks",686797,2025,".234","88.6",5.8,38.5,"26.1",31.8,16,"139"
"Smith, Cam",701358,2025,".235","87.9",6.9,40.8,"29.3",29.6,9,"134"
"LeMahieu, DJ",518934,2025,".245","91.7",4.3,51.6,"25.6",24,2,"45"
"Rogers, Jake",668670,2025,".194","89.5",9.2,40.2,"26.8",21.9,3,"46"
"Pereira, Everson",677592,2025,".160","90.5",7.9,44.7,"28.3",23.5,2,"23"
"Lowe, Brandon",664040,2025,".253","91.1",12.9,46.6,"26.9",32.1,31,"134"
"Dubón, Mauricio",643289,2025,".247","84.5",1.2,26.3,"28.0",35.2,7,"133"
"Teel, Kyle",691019,2025,".237","88.3",9.6,37.6,"27.5",23.6,8,"78"
"Fortes, Nick",663743,2025,".215","87.5",4.6,37.9,"26.8",30.8,5,"97"
"Lukes, Nathan",664770,2025,".259","87.9",4.7,37,"27.3",31.5,12,"135"
"Mitchell, Garrett",669003,2025,".229","90.4",6.7,42.2,"29.0",23.8,0,"25"
"Jones, Jahmai",663330,2025,".291","91.5",13.4,53.6,"28.1",21.5,7,"72"
"Baldwin, Drake",686948,2025,".272","91.7",11,49.6,"26.1",28.9,19,"124"
"Acuña, Luisangel",682668,2025,".235","87.9",1.4,35.5,"29.6",31,0,"95"
"Perkins, Blake",663368,2025,".223","89.6",3.7,34.3,"29.1",18.5,3,"54"
"Bell, Josh",605137,2025,".256","90.4",12,47,"25.2",26.8,22,"140"
"Kwan, Steven",680757,2025,".273","86.2",1.9,19.3,"27.3",22.7,11,"156"
"Albies, Ozzie",645277,2025,".243","87.5",4.9,30.7,"27.2",33.5,16,"157"
"Baty, Brett",683146,2025,".252","90.7",12.8,46.9,"27.0",24.9,18,"130"
"Meyers, Jake",676694,2025,".269","88.1",5,38.9,"28.2",23.7,3,"104"
"Siri, Jose",642350,2025,".094","84.9",20,33.3,"28.5",34.8,0,"16"
"Julks, Corey",667452,2025,".103","85.5",0,20,"27.4",28.6,0,"6"
"Seager, Corey",608369,2025,".285","92.9",15.3,53.6,"25.3",23,21,"102"
"Hernández, Enrique",571771,2025,".221","90.3",9.4,37.6,"26.9",32,10,"92"
"Saggese, Thomas",695336,2025,".239","90.2",5.6,44.1,"28.4",34.3,2,"82"
"Stowers, Kyle",669065,2025,".265","91.1",19,52,"27.1",28,25,"117"
"Rivas, Leo",660844,2025,".183","86.3",3,19.7,"27.8",8.1,2,"48"
"Trammell, Taylor",666211,2025,".187","91",7.8,40.3,"28.2",21.9,3,"52"
"Duran, Ezequiel",677649,2025,".214","85.3",2.6,30.9,"28.8",37.4,0,"90"
"Alfaro, Jorge",595751,2025,".241","86.8",8,44,"28.2",53.2,0,"14"
"Buxton, Byron",621439,2025,".249","92.5",17.6,53.8,"30.2",29.5,35,"126"
"Heineman, Tyler",623168,2025,".215","84.4",3.2,22.4,"26.3",32.7,3,"61"
"Bryant, Kris",592178,2025,".159","90.8",7.7,34.6,"25.7",25.6,0,"11"
"Mayer, Marcelo",691785,2025,".210","90",9.2,51.7,"27.5",29.6,4,"44"
"Fitzgerald, Tyler",666149,2025,".192","84.5",4.5,27.9,"29.6",32.8,4,"72"
"Bauers, Jake",641343,2025,".237","91.7",13.6,45.6,"27.1",20.4,7,"85"
"Suzuki, Seiya",673548,2025,".247","91.3",16.6,48.7,"28.4",20.5,32,"151"
"Sánchez, Jesús",660821,2025,".242","91.3",11.1,43.4,"27.0",30.6,14,"134"
"Young, Jacob",696285,2025,".262","87.6",1.9,34.2,"29.3",23.9,2,"120"
"Urías, Luis",649966,2025,".234","86.2",3.7,30.2,"26.0",22.9,8,"96"
"Allen, Nick",669397,2025,".220","84.8",0,21.6,"27.4",25.8,0,"135"
"McLain, Matt",680574,2025,".212","88.8",7.7,40.7,"29.2",26.3,15,"147"
"Pillar, Kevin",607680,2025,".209","86.1",2.9,20,"28.4",43.7,0,"20"
"Kemp, Otto",805249,2025,".231","89.9",12.1,44.7,"29.4",29.4,8,"62"
"Rodríguez, Julio",677594,2025,".274","91.8",9.8,48,"29.2",35.9,32,"160"
"Conforto, Michael",624424,2025,".233","89.9",9.7,44,"26.0",23.2,12,"138"
"Dalbec, Bobby",666915,2025,".168","84.6",0,25,"27.4",26.8,0,"7"
"Amador, Adael",691182,2025,".218","84.8",3.4,24.7,"26.5",27,1,"41"
"Gurriel Jr., Lourdes",666971,2025,".256","87.8",7.2,38.3,"27.1",34.5,19,"129"
"Tromp, Chadwick",644433,2025,".169","90.2",6.7,40,"21.7",38.9,1,"8"
"Arozarena, Randy",668227,2025,".227","91.3",11.5,50.6,"27.7",25.3,27,"160"
"Simon, Ronny",682927,2025,".240","88.4",6.2,36.9,"28.8",27.4,0,"27"
"Navarreto, Brian",640459,2025,".247","96.1",25,66.7,"26.7",40,1,"8"
"Busch, Michael",683737,2025,".262","92.2",17.1,47.3,"26.5",23.1,34,"155"
"Anderson, Tim",641313,2025,".183","88.6",0,36.4,"27.9",36.5,0,"31"
"Gonzalez, Romy",663853,2025,".276","93.3",12.6,57.3,"28.3",35.1,9,"96"
"Hampson, Garrett",641658,2025,".150","84.3",2,19.6,"28.9",23.1,0,"62"
"Ballesteros, Moisés",694208,2025,".267","89.1",6.7,33.3,"26.0",27.2,2,"20"
"Hernández, Heriberto",681715,2025,".245","90.2",10.9,45.4,"28.7",21.5,10,"87"
"Swanson, Dansby",621020,2025,".267","90.5",11.7,47.8,"28.5",25.2,24,"159"
"Frazier, Adam",624428,2025,".244","85.3",2,20.6,"26.6",29.5,7,"134"
"Johnson, Daniel",669288,2025,".237","89.3",12.5,42.5,"29.2",33,1,"31"
"Rodgers, Brendan",663898,2025,".213","90.5",14.3,48.6,"26.4",28.2,2,"43"
"Solano, Donovan",456781,2025,".223","87.4",3.9,37.5,"25.0",36.3,3,"71"
"Turner, Justin",457759,2025,".237","88.3",3.7,30.9,"25.3",27.6,3,"80"
"Mead, Curtis",678554,2025,".232","87.5",4.5,34.8,"26.9",27.8,3,"90"
"Loftin, Nick",679845,2025,".232","88.2",6.3,34,"28.4",25,4,"67"
"Diaz, Yainer",673237,2025,".268","89.9",9.6,42.2,"27.3",44.3,20,"143"
"Del Castillo, Adrian",680728,2025,".206","89.9",6.7,49.3,"25.9",30.4,4,"44"
"Fry, David",681807,2025,".137","88.7",9.1,39.8,"26.6",34.2,8,"66"
"Adams, Riley",656180,2025,".208","91.8",10.5,52.3,"26.6",30.5,8,"83"
"Kirk, Alejandro",672386,2025,".278","91.1",10.1,50.8,"24.3",29,15,"130"
"Short, Zack",670097,2025,".175","86.2",3,39.4,"27.4",25.2,2,"22"
"Raley, Luke",670042,2025,".209","89.5",10.6,42.3,"28.7",27,4,"73"
"Roden, Alan",702176,2025,".176","86.4",2,30.4,"27.8",32.4,2,"55"
"Fletcher, Dominic",666150,2025,".248","89.1",3.3,40,"25.5",35.3,1,"12"
"Paredes, Isaac",670623,2025,".235","87.4",6.3,33.6,"25.6",21.4,20,"102"
"Freeland, Alex",690976,2025,".168","90.7",8,38,"26.2",19.3,2,"29"
"Shaw, Matt",807713,2025,".237","84.9",6.9,29.4,"29.0",30.6,13,"126"
"Margot, Manuel",622534,2025,".317","79.5",0,14.3,"25.3",30.8,0,"6"
"Beavers, Dylan",687637,2025,".213","88.8",9.3,28,"28.9",18.9,4,"35"
"Neto, Zach",687263,2025,".251","91",14,46.6,"28.1",30.1,26,"128"
"Torrens, Luis",620443,2025,".274","90.6",10.7,48.1,"26.6",25.8,5,"92"
"Barger, Addison",680718,2025,".255","91.7",11.4,51,"27.7",31.1,21,"135"
"Goodman, Hunter",696100,2025,".244","90.8",12.8,46.9,"27.2",36.7,31,"144"
"Marte, Starling",516782,2025,".248","87.6",7.8,40.4,"26.6",29.6,9,"98"
"Mountcastle, Ryan",663624,2025,".253","90.7",11.7,47.1,"27.6",39.6,7,"89"
"Biggio, Cavan",624415,2025,".211","89.8",4,36,"28.1",17.7,1,"37"
"Carpenter, Kerry",681481,2025,".252","91.4",12.5,46.8,"27.1",34.1,26,"130"
"Donovan, Brendan",680977,2025,".280","89.7",8.8,40.9,"26.6",25,10,"118"
"Jones, Nolan",666134,2025,".224","90.8",8.5,46.7,"27.6",26.8,5,"136"
"Chisholm Jr., Jazz",665862,2025,".234","89",15,43.3,"27.6",26.5,31,"130"
"Harper, Bryce",547180,2025,".268","91.3",12.3,47.5,"27.0",35.6,27,"132"
"Jensen, Carter",695600,2025,".336","95.4",20.8,58.3,"27.5",24,3,"20"
"Toro, Abraham",647351,2025,".253","86.3",4.5,34.2,"27.9",34.8,7,"77"
"McCormick, Chas",676801,2025,".228","85.8",5.3,29.3,"26.4",38.2,1,"64"
"Pagés, Pedro",686780,2025,".208","88",7.3,36.5,"25.6",36.1,11,"112"
"Tauchman, Mike",643565,2025,".244","89",6.8,38.8,"24.9",23.8,9,"93"
"Feduccia, Hunter",676439,2025,".188","87.6",8.2,32.8,"26.2",23.2,0,"38"
"McKinstry, Zach",656716,2025,".247","85.7",6.1,30.5,"28.3",26.4,12,"144"
"Fraley, Jake",641584,2025,".248","85.2",4.9,34.5,"28.4",26.5,6,"76"
"Giménez, Andrés",665926,2025,".252","86.3",3,27.7,"28.0",34.7,7,"101"
